id,gr,motiv,pre_sc,math_sc,sci
23926,4,80.88924311329771,1.2129431851245398,49.969867275239295,598.1783947947315
31464,1,NA,1.250998286664734,56.891867285945416,611.6506972761133
42404,2,85.45783754453775,0.40462748402784837,66.24704360511342,409.39813090170446
19892,5,NA,2.664401484423321,55.246632983502984,1185.3009588613336
76184,3,97.08308716256646,2.2353430599824424,67.59779063838266,NA
58204,5,69.99991284646974,0.15801374925273282,61.994056494000084,267.10349706139226
38741,2,53.212991080016835,0.16767338514879046,77.59902399089299,233.73830781302857
72934,1,84.29749952792109,0.13039234397235697,72.38330534373675,306.7725096604353
11248,1,75.63090479152937,0.4153514857125325,74.67166498362154,406.3531088238721
80068,1,NA,5.497033164433504,73.70072471570967,2583.136043215337
17435,2,61.97406739933563,0.6147114470111217,69.20186878171317,439.6495533770771
72685,4,49.78128549159997,0.6392252731001112,67.69431011644413,401.1099890192788
91175,2,69.09936484346841,0.22508905536200308,64.99755353791039,286.4701762603808
30104,2,52.71069481841292,1.7402720768093585,57.83262386948077,758.4076461758389
20732,1,93.11725695068877,1.0485382207372367,NA,614.9271033659705
55484,4,NA,3.726753301866284,69.29550488616736,1785.6068844619901
17753,5,62.068614419226904,0.7148229348362948,54.500586763360815,415.3975733213623
99371,3,48.68323288464693,1.5471493839147479,48.66158246188483,586.6568293242317
87933,4,74.76178863352636,0.12165329000782693,NA,281.47649759620066
96189,4,NA,0.3460267123557711,66.61413694750972,381.0799040638411
66023,3,76.04863301790635,0.390233926571253,56.96259718796029,358.9681480392975
81593,4,75.94638479926556,NA,78.75536566696104,5275.3421503787085
19767,2,76.87839507391283,1.0977901197948483,67.97884929468772,677.0954938905105
70402,5,NA,0.3081560125034032,73.25439286219454,382.1199756385939
21154,4,NA,0.985397781444613,73.93595567631382,696.7485543549103
90020,2,77.58899010546484,0.13836695178187447,59.056970127527656,277.39415351757987
48364,5,58.349429612502504,0.9098769183489811,78.58059331873392,600.6354322775306
76182,4,NA,1.3699474982830522,81.6730044769073,841.5070532569594
59749,2,63.46011662267294,0.48058138290548297,53.38950865294191,335.6445086508372
45530,5,NA,2.464011255266577,63.31282087744116,1133.8784255344954
27156,1,92.82657405907855,1.416855650999642,47.09679663509047,670.1303928582344
58283,1,NA,0.6507268233989536,45.6938224372628,388.62591749107423
39820,2,NA,6.774709291259739,55.64014530757027,2488.3762334171233
33475,1,70.6759657651541,1.1402999769803628,50.52908635570304,555.2505688391838
90860,3,91.01128595492904,0.2765760197338004,58.62414978054598,364.91705387222277
80572,2,103.45491557181988,0.18205648123159654,44.70474144704984,352.897175445592
83037,2,92.77486056652388,0.5441319249877579,86.27669084500556,NA
70181,3,66.92805037275983,0.13517445901219835,58.97116825548595,244.03435316578907
92962,5,NA,1.999893104122087,72.48462732898993,1088.1370551852035
62693,3,63.2411055366538,4.126101424273333,NA,1965.6237675535751
57408,1,66.9165233359148,0.5211463071688538,78.70507560124557,439.7176436401616
47216,1,77.3481053778876,3.1537525205207073,44.33527968665632,1068.267573863104
18563,3,NA,1.3569454635524658,53.75503033156496,671.4712673098752
69688,2,60.847658231936194,3.4745855378388715,69.8912055132311,1638.5876760619112
59967,1,61.458282341462365,1.728125128030335,76.84328248917956,977.2112691437184
13852,4,79.94776346272003,0.2551243409341016,81.12146658548025,NA
11263,2,61.59929940372274,1.0342370705873902,55.01457678275428,521.9908261949869
72084,4,90.41924372679716,4.8719326293274445,63.15176120360982,NA
36057,5,71.40726789361396,1.4188300913368739,70.98452985751814,NA
32027,4,66.03272342129193,0.722314431587764,49.11957442377525,401.1161757496651
92872,1,NA,3.9074403094778773,62.607998718738656,1723.818138646973
78077,1,61.55515920681723,0.6919799217374882,73.73739402101481,484.7185934280699
92940,3,65.01457213967376,0.4393184607326446,73.0704487208852,385.00705408970214
76030,3,50.28234874167329,2.799472804188574,64.44874317678284,1228.8080057460338
42841,3,67.16343155552082,0.3523231085943708,43.62631949022789,292.61414394761545
31926,5,NA,2.0708267839469183,58.87939267669383,935.680421330445
21211,2,66.98398543738686,0.6789264221240701,80.50942952530218,521.3962555852388
77626,5,73.92937802322446,1.7173885749347384,NA,785.4576082980561
64847,3,NA,0.9950272767549838,60.44434034683118,625.6571132962154
91918,2,59.720155272723424,2.830159702968702,63.258889267236235,1248.527733888074
11501,1,86.81201307901453,0.44403232313338264,62.675196145504664,422.9322823633367
49256,3,89.45977728845881,NA,60.37180819659485,2746.0157281936586
85313,4,87.7015708981443,1.577758748265037,NA,894.6881955037334
14826,2,85.31527117231425,0.9535061901769875,45.23969241839566,509.61727048793006
84126,4,90.84002867093001,0.2134344809481445,48.09024935626107,330.37469206454443
99058,3,NA,1.1960190078085855,81.39216068124468,845.3225242905793
97934,3,NA,3.929887596748601,74.76038797879033,1994.341528280571
37067,3,65.79036774705902,0.3923578157192115,71.08373055350184,361.5056895514494
79448,2,NA,3.8134596986694893,81.08331126236942,2034.6789239807706
27852,4,68.58283362498054,0.1654752544784532,76.77265617098074,279.10185915045383
69298,5,83.10386825010193,0.6628527034124917,56.912698806708875,NA
